size,00,0,2,4,6,8,10,12,14,16,18,20,22,36,38,40,42,50
neck,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,15.5,16.75,16.25,16.5,18.75
shoulder,3.5,3.75,3.75,4,4,4.25,4.25,4.5,4.5,4.5,4.75,4.75,4.75,5.5,5.5,5.75,6.5,6.75
front length,13.25,13.5,13.75,14,14.25,14.5,14.75,15,15.25,15.5,15.5,15.75,15.75,15.5,14.25,16.5,,16.5
cross front,11,11.5,12.25,12.25,12.5,13,13,13.25,13.5,14,14.75,15,15.5,14,15.75,14.75,16.25,17.75
figure length,7.25,7.25,7.5,7.5,7.75,7.75,7.75,8,8.25,8.75,9.5,10,10.75,7.5,7.5,8,8.25,9
figure breadth,6.25,6.5,6.75,6.75,7,7,7.25,7.5,7.5,7.75,8.25,9,10,7,8,7,6.5,9.75
back length,15.75,15.75,16,16.25,16.25,16.25,16.5,17,17,17.25,17.25,17.5,17.5,18.25,16.75,18.75,19.5,18.5
cross back,12.5,12.75,13,13.25,13.5,14,14.5,14.75,15,15.25,15.5,15.75,16,15.75,17,16.5,17.5,19.25
bust,31,32,33.25,34.5,35.5,37,38.5,40,41.25,42.75,44,45.5,47,36.25,40,39.5,42,51
underbust,26.25,26.5,27,28.5,29.25,31.25,32,34,34.25,36,39.25,42,44.25,33.25,38,36.5,38,49
waist,23.5,24.25,25,26,27,28.5,30,31.75,33.5,35.25,37,40,42,30.25,33.75,34.5,35,45.75
high hip,31,31.5,32,32.5,33.5,33.75,34.25,37,38.5,40,42,46,51.25,33,38,37,40,51.5
low hip,33.5,35.25,36.5,37.5,38.25,39.25,40.25,41.75,43,45,46.5,48.25,49.5,35.5,40,39.5,42,53
side,8,8.5,8.25,8.75,9,9,8.75,9.5,9.5,8.5,8.5,8.5,8.5,10.5,9,10.25,9.75,9.75
armhole,15,15.25,14.25,14.25,14.75,14.75,14.25,15.75,16.5,18,19,19,18.5,17.25,16.75,17.75,17,17
